ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTemp	SR	time	KAPPA	TIRE_TEMP	run_id	test_type	FZ_set	IA_set	V_set	P_set	T_set	block_id
0.16	24	0.03	-0.003	0	19.54	53.75	83	2.1	-28.53	-667	-5.48	0.98	-0.0032	0.0431	26.97	26.29	26.25	27.29		-0.6365	0.16	-0.6365	26.29	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	0
6.16	24	0.03	-0.004	0	19.91	53.75	83	1.41	-13.12	-222	-5.41	1.28	-0.0064	0.0595	26.92	26.42	26.17	27.24		-0.6296	6.16	-0.6296	26.42	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	1
10.66	24	0.09	0.003	0	19.71	67.21	83	0.91	-24.37	-445	-4.99	0.98	-0.002	0.055	26.84	26.21	26.5	27.19		-0.7068	10.66	-0.7068	26.5	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	2
15.16	24	0.03	-0.001	0	19.53	336.95	83	1.03	-27.98	-667	-5.23	0.41	-0.0016	0.0422	26.9	26.26	26.24	27.17		-0.942	15.16	-0.942	26.26	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	3
19.66	24	0.09	-0.003	0	19.35	93.37	83	1.79	-30.89	-890	-4.35	0.45	-0.002	0.035	26.84	26.38	26.11	27.19		-0.7927	19.66	-0.7927	26.38	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	4
24.16	24	0.09	0.007	0	19.18	14.89	83	1.22	-35.8	-1112	-3.33	0.08	-0.0011	0.0324	26.87	26.41	26.27	27.16		0.2878	24.16	0.2878	26.41	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	5
29.66	24	-0.04	-0.003	2	19.97	-150.77	83	0.81	-27.79	-222	-10.57	12.21	-0.0038	0.1296	26.8	26.32	26.42	26.6		-1.1324	29.66	-1.1324	26.42	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	6
34.16	24	0.09	0.003	2	19.74	67.21	83	-1.6	-32.67	-445	-16.08	10.79	0.0036	0.0739	26.82	26.21	26.27	27.14		-0.7064	34.16	-0.7064	26.27	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	7
38.66	24	0.03	0.002	2	19.54	242.55	83	-1.83	-29.62	-667	-19.65	10.06	0.0028	0.0447	26.85	26.25	26.37	27.31		-0.9194	38.66	-0.9194	26.37	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	8
43.16	24	-0.04	0.002	2	19.37	-326.82	83	-1.64	-28.19	-890	-21.8	10.28	0.0019	0.0318	26.73	26.26	26.29	27.42		-1.0593	43.16	-1.0593	26.29	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	9
47.66	24	-0.11	0.002	2	19.19	-102.28	83	-0.69	-27.55	-1112	-22.25	9.79	0.0006	0.0248	26.83	26.32	26.26	26.42		-1.1876	47.66	-1.1876	26.32	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	10
53.16	24	-0.04	0.004	4	20.1	-209.45	83	-0.16	-5.82	-222	-12.16	19.78	0.0007	0.0267	26.78	26.46	26.15	27.42		-1.096	53.16	-1.096	26.46	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	11
57.66	24	0.09	-0.004	4	19.84	119.53	83	-2.53	-11.0	-445	-22.32	20.48	0.0057	0.0245	26.83	26.54	26.14	26.93		-0.8341	57.66	-0.8341	26.54	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	12
62.16	24	-0.04	-0.004	4	19.61	-150.77	83	-1.87	-4.06	-667	-30.22	22.39	0.0028	0.006	26.72	26.51	26.19	27.43		-1.1301	62.16	-1.1301	26.51	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	13
66.66	24	-0.04	0.006	4	19.41	-150.77	83	-4.98	1.87	-890	-34.67	21.81	0.0055	-0.0021	26.81	25.91	26.27	27.46		-1.1287	66.66	-1.1287	26.27	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	14
71.16	24	0.03	0.006	4	19.22	242.55	83	-3.81	5.26	-1112	-39.18	21.69	0.0034	-0.0047	26.75	26.64	26.08	27.6		-0.9208	71.16	-0.9208	26.64	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	15
88.16	40	0.03	-0.001	0	20.06	406448.66	83	-2.44	-8.28	-222	-4.76	0.53	0.0103	0.0349	28.29	25.65	27.88	27.78		-1.0	88.16	-1.0	27.78	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	16
94.16	40	0.09	0.006	0	20.06	112944.27	83	-3.56	-8.14	-222	-4.69	0.72	0.0152	0.0348	28.28	25.53	28.13	27.7		-0.9998	94.16	-0.9998	27.7	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	17
98.66	40	0.09	-0.007	0	19.85	112996.58	83	-10.65	-6.96	-445	-4.19	-0.36	0.0231	0.0151	28.2	25.61	28.47	28.19		-0.9998	98.66	-0.9998	28.19	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	18
103.16	40	-0.11	-0.003	0	19.67	-96441.58	83	-13.24	3.21	-667	-2.5	-1.35	0.0199	-0.0048	28.49	26.14	28.68	28.7		-1.0002	103.16	-1.0002	28.68	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	19
107.66	40	0.03	-0.004	0	19.49	406543.06	83	-17.87	13.51	-890	-3.54	-1.34	0.0209	-0.0158	28.43	26.53	29.06	29.19		-1.0	107.66	-1.0	29.06	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	20
112.16	40	0.09	0.0	0	19.33	112865.78	83	-37.27	17.87	-1112	-4.5	-3.24	0.0335	-0.0161	28.23	27.02	29.46	29.71		-0.9998	112.16	-0.9998	29.46	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	21
117.66	40	0.03	0.012	2	20.13	407298.25	83	-10.55	-2.86	-222	-10.61	16.64	0.0488	0.0132	28.36	26.87	29.4	29.93		-1.0	117.66	-1.0	29.4	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	22
122.16	40	0.03	-0.011	2	19.88	405976.66	83	-17.34	41.2	-445	-18.48	19.22	0.0388	-0.0922	28.54	27.13	29.08	30.36		-1.0	122.16	-1.0	29.08	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	23
126.66	40	0.09	0.006	2	19.69	112656.51	83	-26.57	125.3	-667	-21.79	19.37	0.0387	-0.1826	28.56	27.23	29.4	30.48		-0.9998	126.66	-0.9998	29.4	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	24
131.16	40	0.03	-0.003	2	19.5	406637.47	83	-22.71	216.5	-890	-22.26	21.45	0.0256	-0.2439	28.64	27.61	29.72	30.66		-1.0	131.16	-1.0	29.72	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	25
135.66	40	0.09	0.007	2	19.33	112761.16	83	-34.78	296.17	-1112	-26.48	22.93	0.0316	-0.2692	28.59	27.97	29.84	31.08		-0.9998	135.66	-0.9998	29.84	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	26
141.16	40	0.09	-0.004	4	20.29	112604.19	83	-12.22	4.53	-222	-13.4	28.48	0.0558	-0.0207	28.78	27.77	29.83	31.47		-0.9998	141.16	-0.9998	29.83	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	27
145.66	40	0.09	0.004	4	19.99	112682.67	83	-19.71	76.47	-445	-23.75	31.44	0.0431	-0.1671	28.95	27.47	29.79	31.64		-0.9998	145.66	-0.9998	29.79	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	28
150.16	40	0.03	-0.001	4	19.77	406731.88	83	-20.51	199.04	-667	-29.74	32.73	0.0307	-0.2975	28.9	27.81	29.69	32.02		-1.0	150.16	-1.0	29.69	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	29
154.66	40	0.03	-0.007	4	19.55	407392.66	83	-36.08	335.16	-890	-40.16	38.91	0.0403	-0.3748	28.99	28.14	29.86	32.13		-1.0	154.66	-1.0	29.86	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	30
159.16	40	-0.04	-0.006	4	19.36	-252657.27	83	-39.03	493.34	-1112	-45.21	45.2	0.0347	-0.4385	29.0	28.45	30.02	31.94		-1.0001	159.16	-1.0001	30.02	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	31
164.66	24	0.03	0.007	4	19.62	242.55	83	5.95	177.36	-667	-33.6	24.36	-0.0088	-0.2624	27.52	28.32	29.86	32.49		-0.9191	164.66	-0.9191	29.86	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	32
166.16	24	-0.04	0.004	0	20.83	-19926.44	83	3.57	-23.68	-222	-9.04	4.79	-0.5641	3.7386	27.33	28.01	29.79	32.91		-1.001	166.16	-1.001	29.79	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	33
188.14	24	-0.04	0.003	0	19.58	-19926.44	83	-15.23	2.17	-667	-2.77	-1.84	0.0214	-0.0031	29.62	27.8	29.13	32.19		-1.001	188.14	-1.001	29.13	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	34
210.14	24	0.03	0.006	0	19.2	32244.38	83	-20.54	4.13	-1112	-5.9	-4.65	0.0187	-0.0038	29.95	27.85	28.97	31.32		-0.9994	210.14	-0.9994	28.97	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	35
232.14	24	0.03	-0.014	0	20.01	31677.97	83	1.39	-12.05	-222	-4.74	2.35	-0.0078	0.0683	29.92	27.35	28.12	31.11		-0.9994	232.14	-0.9994	28.12	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	36
254.14	24	0.03	0.0	0	19.62	31961.17	83	-11.82	-16.75	-667	-0.94	0.11	0.0177	0.0251	30.0	27.57	28.3	31.28		-0.9994	254.14	-0.9994	28.3	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	37
276.14	24	0.03	-0.004	0	19.2	31772.37	83	-25.6	-11.94	-1112	-0.73	-2.21	0.0222	0.0103	30.18	27.26	28.13	30.66		-0.9994	276.14	-0.9994	28.13	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	38
298.14	24	-0.04	-0.007	0	19.96	-19515.67	83	-0.09	-10.35	-222	-7.08	2.17	0.0004	0.0489	30.11	27.53	28.28	30.53		-1.001	298.14	-1.001	28.28	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	39
320.14	24	-0.04	-0.014	0	19.61	-20043.8	83	-12.01	-8.44	-667	-1.03	-0.19	0.0183	0.0128	29.93	27.19	27.82	30.49		-1.001	320.14	-1.001	27.82	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	40
342.14	24	0.09	-0.007	0	19.25	8856.71	83	-22.32	-6.69	-1112	2.06	-3.54	0.0203	0.0061	30.1	27.62	28.32	30.46		-0.9978	342.14	-0.9978	28.32	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	41
378.14	24	0.03	0.0	0	19.45	31677.97	69	-10.24	8.69	-667	-7.45	-1.3	0.0159	-0.0135	30.41	27.88	28.44	30.1		-0.9994	378.14	-0.9994	28.44	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	42
381.14	24	0.03	0.003	0	19.9	31677.97	69	-2.11	-3.38	-222	-5.7	1.88	0.01	0.016	30.07	27.91	28.74	30.04		-0.9994	381.14	-0.9994	28.74	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	43
403.14	24	0.09	-0.013	0	19.49	9013.67	69	-9.7	5.39	-667	-3.23	0.8	0.0153	-0.0085	30.09	27.53	28.22	30.06		-0.9978	403.14	-0.9978	28.22	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	44
425.14	24	-0.04	0.009	0	19.11	-19750.39	69	-25.12	13.91	-1112	-1.45	-2.71	0.0228	-0.0126	30.45	27.29	28.05	29.88		-1.001	425.14	-1.001	28.05	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	45
447.14	24	0.03	0.007	0	19.92	32055.58	69	-1.62	-3.59	-222	-3.98	2.21	0.007	0.0156	30.11	27.28	28.05	29.83		-0.9994	447.14	-0.9994	28.05	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	46
469.14	24	0.03	0.004	0	19.43	31961.17	69	-16.26	-3.24	-667	-1.47	-0.66	0.0235	0.0047	30.17	27.42	28.11	29.8		-0.9994	469.14	-0.9994	28.11	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	47
491.14	24	0.03	-0.003	0	19.06	32149.98	69	-22.98	4.23	-1112	-6.24	-3.24	0.0212	-0.0039	30.36	27.37	28.29	29.64		-0.9994	491.14	-0.9994	28.29	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	48
513.139	24	0.09	0.01	0	19.91	8882.87	69	-1.93	-14.88	-222	-5.49	1.73	0.0108	0.0831	30.12	27.44	28.28	29.55		-0.9978	513.139	-0.9978	28.28	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	49
535.139	24	0.03	0.002	0	19.5	31866.78	69	-13.07	-3.72	-667	-1.82	-0.09	0.0199	0.0057	30.23	27.45	28.15	29.38		-0.9994	535.139	-0.9994	28.15	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	50
557.138	24	-0.04	0.007	0	19.1	-19926.44	69	-27.61	3.75	-1112	3.56	-3.8	0.0251	-0.0034	30.32	27.7	28.31	29.63		-1.001	557.138	-1.001	28.31	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	51
593.138	24	-0.11	-0.008	0	19.64	-7578.42	97	-8.28	-3.17	-667	-8.2	-0.17	0.0125	0.0048	31.17	27.7	28.35	29.9		-1.0026	593.138	-1.0026	28.35	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	52
596.137	24	-0.04	-0.01	0	20.03	-19574.35	97	-2.44	-6.12	-222	-4.64	1.45	0.0115	0.0288	30.63	27.59	28.63	29.52		-1.001	596.137	-1.001	28.63	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	53
618.157	24	-0.04	-0.008	0	19.72	-20043.8	97	-8.5	-2.25	-667	-1.58	0.6	0.0131	0.0035	30.25	27.3	28.34	29.49		-1.001	618.157	-1.001	28.34	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	54
640.156	24	0.03	0.003	0	19.37	32621.98	97	-21.95	-4.78	-1112	-0.35	-2.39	0.0198	0.0043	30.39	27.51	28.35	29.43		-0.9994	640.156	-0.9994	28.35	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	55
662.156	24	0.03	0.007	0	20.03	31866.78	97	-4.01	-4.21	-222	-2.88	1.39	0.0158	0.0166	30.39	27.53	28.41	29.21		-0.9994	662.156	-0.9994	28.41	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	56
684.155	24	0.09	0.01	0	19.71	9013.67	97	-8.76	-24.05	-667	-4.12	1.04	0.0146	0.0399	30.85	27.22	28.48	29.21		-0.9978	684.155	-0.9978	28.48	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	57
706.155	24	0.03	0.007	0	19.38	32055.58	97	-19.54	-18.54	-1112	-1.43	-1.87	0.0178	0.0169	30.73	27.17	28.34	29.25		-0.9994	706.155	-0.9994	28.34	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	58
728.154	24	-0.11	-0.007	0	20.05	-7556.04	97	-2.48	-13.44	-222	-5.19	1.63	0.0091	0.0491	30.86	27.66	28.44	29.02		-1.0027	728.154	-1.0027	28.44	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	59
750.154	24	-0.04	-0.001	0	19.7	-19926.44	97	-8.39	-12.5	-667	0.85	0.43	0.0131	0.0195	30.87	27.55	28.47	29.26		-1.001	750.154	-1.001	28.47	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	60
772.153	24	-0.11	0.012	0	19.39	-7645.57	97	-20.81	-9.49	-1112	-1.55	-1.34	0.019	0.0087	30.75	27.69	28.77	29.36		-1.0025	772.153	-1.0025	28.77	B2356run2	combined	-660.16	0.006	3.14	82.76	28.35	61
278.67	40	0.09	0.02	0	19.2	112733.73	83	-29.32	-54.11	-1112	-7.68	3.71	0.0257	0.0475	33.15	50.88	48.72	50.41		-0.9998	278.67	-0.9998	50.41	B2356run4	combined	-682.405	1.986	40.19	82.41	56.88	62
312.48	40	-0.04	0.073	0	19.44	-252888.25	83	-39.89	-67.0	-890	-5.24	6.75	0.0437	0.0734	32.9	51.46	49.89	51.23		-1.0001	312.48	-1.0001	51.23	B2356run4	combined	-682.405	1.986	40.19	82.41	56.88	63
346.27	40	0.09	0.055	0	19.67	112655.26	83	-28.73	-53.78	-667	-6.63	7.19	0.0421	0.0788	33.01	51.87	50.66	51.78		-0.9998	346.27	-0.9998	51.78	B2356run4	combined	-682.405	1.986	40.19	82.41	56.88	64
