ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTemp	SR	time	KAPPA	TIRE_TEMP	run_id	test_type	FZ_set	IA_set	V_set	P_set	T_set	block_id
0.16	24	0.01	-0.003	0	21.9	763.16	83	-3.21	-4.12	-667	-3.97	-3.44	0.0048	0.0062	30.55	27.69	28.13	28.44		-0.9713	0.16	-0.9713	28.13	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	0
6.16	24	0.01	0.006	0	22.28	763.16	83	-5.28	0.61	-222	-5.25	-3.25	0.0242	-0.0028	30.54	27.67	27.84	28.53		-0.9708	6.16	-0.9708	27.84	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	1
10.66	24	0.08	0.0	0	22.07	165.65	83	-5.57	-5.65	-445	-4.09	-3.62	0.0127	0.0128	30.55	27.52	28.09	28.46		-0.8668	10.66	-0.8668	28.09	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	2
15.16	24	0.08	0.006	0	21.89	135.9	83	-3.31	-7.12	-667	-5.1	-3.65	0.005	0.0108	30.36	27.53	28.09	28.57		-0.8389	15.16	-0.8389	28.09	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	3
19.66	24	-0.12	-0.003	0	21.72	-92.72	83	-2.8	-8.4	-890	-3.42	-4.03	0.0032	0.0095	30.39	27.83	28.24	28.27		-1.2342	19.66	-1.2342	28.24	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	4
24.16	24	0.01	-0.01	0	21.55	429.12	83	-1.2	-10.3	-1112	-2.9	-4.3	0.0011	0.0094	30.46	27.77	28.07	28.35		-0.9498	24.16	-0.9498	28.07	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	5
29.66	24	0.01	-0.011	2	22.28	930.17	83	-3.77	-217.7	-222	-12.65	6.16	0.018	1.0364	30.47	27.56	28.06	28.47		-0.976	29.66	-0.976	28.06	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	6
34.16	24	0.01	-0.003	2	22.07	763.16	83	-2.97	-209.24	-445	-15.46	6.07	0.0068	0.4789	30.38	27.51	27.98	28.75		-0.9711	34.16	-0.9711	27.98	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	7
38.66	24	0.08	-0.001	2	21.89	135.9	83	-3.25	-197.09	-667	-16.51	3.55	0.0049	0.2982	30.51	27.55	28.0	28.61		-0.8389	38.66	-0.8389	28.0	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	8
43.16	24	0.01	0.004	2	21.7	596.14	83	-1.61	-186.79	-890	-17.26	3.69	0.0018	0.2113	30.39	27.42	28.06	28.75		-0.9636	43.16	-0.9636	28.06	B2356run30	combined	-654.62	0.004	3.15	82.21	31.28	9
