ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTemp	SR	time	KAPPA	TIRE_TEMP	run_id	test_type	FZ_set	IA_set	V_set	P_set	T_set	block_id
0.0	24	-0.29	-0.066	0	22.065	-155.775	83	7.99	-11.8	-667	-14.47	2.39	-0.01	0.02	28.85	27.61	27.06	26.87		-1.142	0.0	-1.142	27.06	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	0
6.28	24	-0.22	-0.069	0	22.4	-203.692	83	7.83	-12.0	-222	-9.86	2.93	-0.04	0.07	28.85	27.5	27.09	26.95		-1.11	6.28	-1.11	27.09	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	1
10.78	24	-0.29	-0.067	0	22.213	-155.775	83	7.14	-12.29	-445	-12.84	2.34	-0.02	0.03	28.85	27.73	27.13	26.96		-1.143	10.78	-1.143	27.13	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	2
15.28	24	-0.22	-0.073	0	22.059	-198.132	83	6.45	-12.34	-667	-14.38	1.75	-0.01	0.02	28.86	27.64	27.1	26.86		-1.111	15.28	-1.111	27.1	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	3
19.78	24	-0.22	-0.063	0	21.902	-198.132	83	8.91	-11.85	-890	-14.89	2.25	-0.01	0.01	28.83	27.5	27.16	26.84		-1.111	19.78	-1.111	27.16	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	4
24.28	24	-0.22	-0.067	0	21.747	-198.132	83	8.24	-11.97	-1112	-15.49	1.67	-0.01	0.01	28.84	27.57	26.98	26.8		-1.11	24.28	-1.11	26.98	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	5
29.78	24	-0.15	-0.076	2	22.487	-278.125	83	8.72	-314.37	-222	-14.24	2.74	-0.05	1.63	28.86	27.7	27.13	26.89		-1.081	29.78	-1.081	27.13	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	6
34.28	24	-0.29	-0.063	2	22.242	-155.775	83	8.31	-296.2	-445	-24.88	2.32	-0.02	0.71	28.64	27.69	27.01	26.74		-1.143	34.28	-1.143	27.01	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	7
38.78	24	-0.22	-0.061	2	22.046	-198.132	83	10.39	-277.0	-667	-32.59	2.84	-0.02	0.43	28.64	27.57	26.89	26.9		-1.111	38.78	-1.111	26.9	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	8
43.28	24	-0.22	-0.077	2	21.88	-198.132	83	9.86	-264.05	-890	-37.0	2.36	-0.01	0.31	28.64	27.61	27.16	26.87		-1.11	43.28	-1.11	27.16	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	9
47.78	24	-0.09	-0.07	2	21.717	-471.566	83	9.8	-250.12	-1112	-38.3	1.91	-0.01	0.23	28.84	27.59	27.06	26.77		-1.046	47.78	-1.046	27.06	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	10
53.28	24	-0.22	-0.067	4	22.649	-198.132	83	7.11	-311.91	-222	-17.38	2.58	-0.04	1.57	28.73	27.65	27.03	26.9		-1.114	53.28	-1.114	27.03	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	11
57.78	24	-0.15	-0.051	4	22.38	-262.065	83	9.41	-300.75	-445	-31.03	2.95	-0.02	0.72	28.75	27.78	27.1	26.9		-1.085	57.78	-1.085	27.1	B1654run20	combined	-646.585	-0.033	3.36	83.03	25.08	12
