ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTemp	SR	time	KAPPA	TIRE_TEMP	run_id	test_type	FZ_set	IA_set	V_set	P_set	T_set	block_id
0.15	24	0.02	-0.001	0	19.36	551.17	83	0.79	-51.36	-667	-5.33	0.85	-0.0012	0.0774	31.81	26.96	27.3	27.51		-0.9649	0.15	-0.9649	27.3	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	0
6.15	24	0.09	-0.003	0	19.73	15.85	83	2.07	-18.06	-222	-6.83	1.48	-0.0096	0.0839	31.75	27.12	27.17	27.73		0.2446	6.15	0.2446	27.17	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	1
10.65	24	0.02	0.002	0	19.54	309.92	83	0.23	-40.79	-445	-5.13	0.51	-0.0005	0.0922	31.8	26.95	27.22	27.63		-0.937	10.65	-0.937	27.22	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	2
15.15	24	-0.12	-0.004	0	19.38	-12.12	83	-0.55	-50.48	-667	-4.79	-0.0	0.0008	0.0764	31.75	27.07	27.18	27.7		-2.5987	15.15	-2.5987	27.18	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	3
19.65	24	-0.05	0.007	0	19.2	-184.52	83	-0.78	-60.47	-890	-3.39	-0.04	0.0009	0.0686	31.74	26.81	27.23	27.65		-1.1041	19.65	-1.1041	27.23	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	4
24.15	24	0.16	-0.004	0	19.03	56.16	83	-2.11	-71.57	-1112	-2.09	-0.46	0.0019	0.0649	31.76	27.03	27.26	27.64		-0.6611	24.15	-0.6611	27.26	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	5
29.65	24	-0.05	-0.003	2	19.78	-184.52	83	-0.35	-39.37	-222	-11.4	11.76	0.0017	0.1887	31.81	27.07	27.36	27.29		-1.1072	29.65	-1.1072	27.29	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	6
34.15	24	0.09	-0.003	2	19.56	99.36	83	-0.55	-53.37	-445	-15.94	11.34	0.0013	0.1214	31.71	27.07	27.33	27.59		-0.8031	34.15	-0.8031	27.33	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	7
38.65	24	0.02	-0.007	2	19.37	430.54	83	-2.25	-52.94	-667	-16.99	10.98	0.0034	0.0797	31.81	27.0	27.19	27.79		-0.955	38.65	-0.955	27.19	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	8
43.15	24	0.02	-0.003	2	19.2	430.54	83	-4.87	-57.28	-890	-18.84	10.39	0.0055	0.0647	31.75	27.01	27.18	27.78		-0.9554	43.15	-0.9554	27.18	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	9
47.65	24	-0.05	-0.004	2	19.02	-132.82	83	-5.52	-60.12	-1112	-17.4	10.5	0.005	0.0542	31.76	26.92	27.25	27.54		-1.1432	47.65	-1.1432	27.25	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	10
53.15	24	-0.05	0.0	4	19.89	-132.82	83	-0.45	-17.95	-222	-11.87	24.11	0.0021	0.0844	31.75	27.06	27.3	27.53		-1.1498	53.15	-1.1498	27.3	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	11
57.65	24	-0.05	0.016	4	19.63	-29.43	83	-1.62	-29.46	-445	-18.93	24.29	0.0036	0.0659	31.69	27.15	27.23	26.71		-1.6669	57.65	-1.6669	27.15	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	12
62.15	24	-0.05	0.003	4	19.41	-236.21	83	-5.29	-25.8	-667	-25.59	22.43	0.0079	0.0385	31.8	27.04	27.25	27.62		-1.0822	62.15	-1.0822	27.25	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	13
66.65	24	-0.12	-0.01	4	19.21	-75.98	83	-7.42	-22.31	-890	-30.06	22.6	0.0083	0.025	31.65	27.08	27.18	27.71		-1.2528	66.65	-1.2528	27.18	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	14
71.15	24	0.02	-0.007	4	19.03	430.54	83	-7.4	-21.92	-1112	-31.4	22.67	0.0066	0.0196	31.8	27.02	27.13	27.66		-0.9558	71.15	-0.9558	27.13	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	15
88.15	40	0.02	0.0	0	19.83	519954.16	83	0.07	-15.88	-222	-6.37	0.66	-0.0003	0.0665	32.98	26.53	29.78	28.71		-1.0	88.15	-1.0	28.71	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	16
94.15	40	-0.05	0.002	0	19.83	-222889.2	83	6.73	-12.5	-222	-6.66	2.02	-0.0307	0.057	32.82	26.43	30.4	28.61		-1.0001	94.15	-1.0001	28.61	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	17
98.65	40	-0.05	-0.004	0	19.62	-222527.33	83	-21.37	-15.27	-445	-5.8	-0.23	0.0483	0.0345	32.88	26.85	31.05	28.78		-1.0001	98.65	-1.0001	28.78	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	18
103.15	40	0.09	0.0	0	19.44	119822.41	83	4.79	-7.13	-667	-5.25	-0.72	-0.0071	0.0106	33.01	27.33	31.53	30.07		-0.9998	103.15	-0.9998	30.07	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	19
107.65	40	0.09	-0.001	0	19.26	119933.76	83	-16.17	-15.55	-890	-4.97	-0.16	0.0187	0.018	33.02	27.91	32.22	30.7		-0.9998	107.65	-0.9998	30.7	B2356run13	combined	-657.39	0.004	3.14	82.36	31.48	20
