Tempo,AX1,AY1,AZ1,Ângulo,AX2,AY2,AZ2,GX2,GY2,GZ2,Z da 1º Passagem,Calibragem em Graus
727,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0
937,0.04,-5.09,6.97,0.35,0.54,0.65,0.23,-13.31,-14.41,0.68,0.711,64
1152,1.11,7.85,6.78,10.20,-1.08,-0.77,2.00,-13.07,17.11,-26.40,0.692,62
1369,3.18,-9.03,13.09,29.18,-0.11,2.00,-0.56,-13.19,-41.97,11.29,1.336,120
1582,5.47,-2.41,4.82,50.27,0.94,1.68,-0.61,-13.07,-9.03,-8.32,0.492,44
1797,6.09,-5.82,16.15,55.90,0.15,-0.90,0.34,-13.07,52.17,-17.92,1.648,148
2007,0.73,3.90,8.54,6.68,0.72,-1.93,0.60,-12.95,37.96,9.40,0.871,78
2227,-13.13,-7.04,12.44,-120.59,-1.03,-1.12,1.69,-12.95,8.47,-44.79,1.269,114
2445,-7.92,-4.44,13.02,-72.77,-0.35,-0.34,0.48,-12.70,37.21,-19.32,1.329,120
2661,-13.13,-1.42,5.24,-120.59,1.89,2.00,-2.00,-12.70,1.78,-2.28,0.535,48
2873,2.11,5.90,5.55,19.34,0.89,2.00,2.00,-12.46,-37.34,14.79,0.566,51
3087,-8.31,-0.69,7.20,-76.29,2.00,1.55,-1.16,-12.46,31.40,7.60,0.735,66
3301,2.72,-1.95,8.69,24.96,-1.49,-1.22,2.00,-12.58,-6.52,9.60,0.887,80
3520,-16.04,-5.05,12.71,-147.30,2.00,-0.46,2.00,-12.46,11.34,-19.73,1.297,117
3737,-9.42,-8.65,15.27,-86.48,0.50,-1.62,1.56,-12.34,41.81,-13.33,1.558,140
3951,19.56,9.49,0.38,179.65,-0.12,-2.00,2.00,-12.46,15.56,1.16,0.039,3
4165,1.68,-6.97,-1.49,15.47,-0.44,-1.34,2.00,-12.58,1.60,9.29,-0.152,-14
4379,-9.57,-3.94,6.35,-87.89,0.80,0.15,0.79,-12.34,31.40,-4.44,0.648,58
4596,-6.09,-7.04,12.75,-55.90,1.78,-0.49,-0.59,-12.46,-2.79,12.45,1.301,117
4811,-6.47,-9.88,11.10,-59.41,0.25,0.22,1.46,-12.34,17.07,29.92,1.133,102
5027,16.12,8.96,8.12,148.01,0.63,2.00,-2.00,-12.34,-10.72,25.35,0.829,75
5245,-7.39,-8.57,11.10,-67.85,1.69,-0.14,-0.92,-12.34,-23.21,20.64,1.133,102
5462,-7.81,-4.63,7.04,-71.72,0.72,-0.66,-1.67,-12.09,15.02,21.50,0.718,65
5676,-0.42,-0.04,0.50,-3.87,1.82,1.74,-2.00,-12.21,-9.11,11.52,0.051,5
5893,-17.88,-1.42,13.82,-164.18,1.73,1.02,-2.00,-12.21,5.88,9.40,1.410,127
6108,-7.46,-7.96,7.58,-68.55,-0.15,-0.52,1.75,-12.34,12.24,0.14,0.773,70
6321,9.46,7.16,10.37,86.84,0.68,-0.72,2.00,-12.09,17.00,16.56,1.058,95
6533,13.70,7.31,4.67,125.86,0.46,0.06,0.75,-11.97,3.20,24.34,0.477,43
6745,1.57,7.92,9.00,14.41,1.46,-0.66,-0.10,-12.34,12.77,9.06,0.918,83
6959,-4.40,0.50,4.13,-40.43,1.39,1.57,-1.06,-12.46,-4.33,4.35,0.421,38
7173,-2.14,12.82,19.56,-19.69,-1.48,1.16,2.00,-12.21,1.40,3.51,1.996,180
7390,-1.57,-6.89,12.33,-14.41,-0.68,1.41,-2.00,-12.21,42.33,12.33,1.258,113
7604,6.93,10.76,4.59,63.63,2.00,0.67,-0.99,-12.09,-31.63,28.99,0.468,42
7822,-1.30,-3.37,11.41,-11.95,0.64,-0.99,2.00,-11.85,-10.08,33.93,1.164,105
8041,-19.60,-10.64,0.92,-180.00,-0.54,-2.00,2.00,-11.97,-0.12,-6.14,0.094,8
8256,-6.58,4.02,13.93,-60.47,-0.40,-0.86,1.06,-12.21,-0.27,4.36,1.421,128
8472,-5.44,-13.13,7.96,-49.92,1.87,-2.00,0.07,-12.21,-1.50,-0.11,0.812,73
8687,3.75,7.81,14.97,34.45,-0.45,2.00,-0.32,-12.21,28.15,12.31,1.528,137
