t,ax,ay,az,gx,gy,gz
425,-0.04,-0.26,9.80,-0.05,-0.00,0.00
441,-0.02,-0.25,9.83,-0.05,-0.00,-0.00
456,-0.02,-0.24,9.80,-0.05,-0.00,-0.00
472,-0.02,-0.25,9.78,-0.05,-0.00,0.00
487,-0.04,-0.25,9.76,-0.05,-0.00,0.00
502,-0.03,-0.25,9.81,-0.05,0.00,0.00
518,-0.05,-0.25,9.81,-0.05,-0.00,0.00
534,-0.03,-0.24,9.81,-0.05,-0.00,-0.00
549,-0.03,-0.26,9.81,-0.05,-0.00,-0.00
565,-0.04,-0.26,9.76,-0.05,-0.00,0.00
580,-0.03,-0.26,9.80,-0.05,-0.00,0.00
595,-0.01,-0.24,9.79,-0.05,-0.00,0.00
611,-0.02,-0.25,9.80,-0.05,-0.00,0.00
626,-0.02,-0.26,9.79,-0.05,-0.00,0.00
642,-0.00,-0.24,9.76,-0.05,-0.00,-0.00
657,-0.03,-0.26,9.83,-0.05,-0.00,0.00
672,-0.04,-0.25,9.81,-0.05,-0.00,0.00
688,-0.02,-0.27,9.84,-0.05,-0.00,0.00
703,-0.02,-0.26,9.78,-0.05,-0.00,0.00
718,-0.01,-0.24,9.80,-0.05,-0.00,0.00
734,-0.01,-0.23,9.79,-0.05,-0.00,0.00
749,-0.04,-0.24,9.81,-0.05,-0.00,0.00
765,-0.03,-0.25,9.78,-0.05,-0.00,-0.00
781,-0.05,-0.26,9.78,-0.05,-0.00,-0.00
796,-0.02,-0.25,9.79,-0.05,-0.00,0.00
812,-0.05,-0.24,9.83,-0.05,-0.00,0.00
827,-0.04,-0.24,9.79,-0.05,-0.00,0.00
842,-0.03,-0.25,9.80,-0.05,-0.00,0.00
858,-0.03,-0.23,9.82,-0.05,-0.00,-0.00
873,0.00,-0.25,9.82,-0.05,-0.00,-0.00
888,-0.03,-0.25,9.79,-0.05,-0.00,0.00
904,-0.06,-0.25,9.82,-0.05,-0.00,0.00
919,-0.05,-0.24,9.77,-0.05,-0.00,-0.00
934,-0.03,-0.24,9.78,-0.05,-0.00,-0.00
950,-0.03,-0.25,9.79,-0.05,-0.00,0.00
965,-0.02,-0.25,9.82,-0.05,-0.00,0.00
980,-0.02,-0.24,9.81,-0.05,-0.00,-0.00
997,-0.03,-0.25,9.80,-0.05,-0.00,-0.00
1012,-0.04,-0.24,9.82,-0.05,-0.00,-0.00
1028,-0.03,-0.23,9.84,-0.05,-0.00,-0.00
1043,-0.01,-0.25,9.81,-0.05,-0.00,-0.00
1058,-0.05,-0.23,9.79,-0.05,-0.00,0.00
1074,-0.03,-0.25,9.81,-0.05,-0.00,0.00
1089,-0.03,-0.25,9.81,-0.05,-0.00,-0.00
1104,-0.02,-0.26,9.77,-0.05,0.00,0.00
1120,-0.01,-0.25,9.80,-0.05,-0.00,0.00
1135,-0.03,-0.25,9.81,-0.05,-0.00,0.00
1152,-0.02,-0.26,9.82,-0.05,-0.00,0.00
1167,-0.03,-0.25,9.80,-0.05,-0.00,-0.00
1182,-0.03,-0.25,9.80,-0.05,0.00,0.00
1198,-0.03,-0.26,9.83,-0.05,0.00,-0.00
1213,-0.03,-0.23,9.80,-0.05,-0.00,-0.00
1228,-0.03,-0.26,9.80,-0.05,0.00,0.00
1244,-0.02,-0.26,9.79,-0.05,-0.00,-0.00
1259,-0.02,-0.26,9.80,-0.05,-0.00,-0.00
1274,-0.01,-0.26,9.80,-0.05,-0.00,0.00
