t,ax,ay,az,gx,gy,gz
441,-0.05,-0.29,9.80,-0.05,-0.00,-0.00
456,-0.06,-0.27,9.79,-0.05,-0.00,-0.00
472,-0.05,-0.29,9.77,-0.05,-0.00,0.00
487,-0.07,-0.30,9.80,-0.05,-0.00,0.00
502,-0.07,-0.28,9.77,-0.05,-0.00,0.00
518,-0.08,-0.28,9.82,-0.05,-0.00,-0.00
534,-0.06,-0.28,9.80,-0.05,-0.00,-0.00
549,-0.06,-0.28,9.80,-0.05,-0.00,-0.00
565,-0.05,-0.29,9.79,-0.05,-0.00,-0.00
580,-0.06,-0.27,9.79,-0.05,-0.00,-0.00
595,-0.06,-0.28,9.79,-0.05,-0.00,0.00
611,-0.05,-0.28,9.79,-0.05,-0.00,0.00
626,-0.06,-0.30,9.80,-0.05,-0.00,0.00
642,-0.06,-0.28,9.82,-0.05,-0.00,0.00
657,-0.05,-0.28,9.83,-0.05,-0.00,0.00
672,-0.06,-0.26,9.77,-0.05,-0.00,-0.00
688,-0.05,-0.28,9.77,-0.05,0.00,0.00
703,-0.04,-0.27,9.81,-0.05,-0.00,0.00
718,-0.05,-0.28,9.79,-0.05,-0.00,0.00
734,-0.07,-0.30,9.80,-0.05,-0.00,-0.00
749,-0.04,-0.29,9.80,-0.05,-0.00,0.00
765,-0.03,-0.27,9.80,-0.05,-0.00,0.00
781,-0.04,-0.29,9.82,-0.05,-0.00,0.00
796,-0.07,-0.27,9.80,-0.05,-0.00,0.00
812,-0.07,-0.27,9.80,-0.05,-0.00,0.00
827,-0.07,-0.27,9.79,-0.05,-0.00,0.00
842,-0.07,-0.26,9.81,-0.05,-0.00,0.00
858,-0.07,-0.28,9.79,-0.05,-0.00,-0.00
873,-0.06,-0.28,9.81,-0.05,-0.00,-0.00
888,-0.05,-0.28,9.78,-0.05,-0.00,-0.00
904,-0.06,-0.27,9.78,-0.05,-0.00,0.00
919,-0.05,-0.29,9.79,-0.05,-0.00,0.00
934,-0.05,-0.30,9.81,-0.05,-0.00,-0.00
950,-0.07,-0.29,9.82,-0.05,-0.00,0.00
965,-0.06,-0.28,9.82,-0.05,-0.00,0.00
