ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTemp	SR	time	KAPPA	TIRE_TEMP	run_id	test_type	FZ_set	IA_set	V_set	P_set	T_set	block_id
0.15	24	0.01	0.002	0	19.47	763.16	83	2.11	-49.93	-667	-7.12	0.96	-0.0031	0.0738	31.44	25.33	27.49	27.69		-0.9745	0.15	-0.9745	27.49	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	0
6.15	24	0.08	-0.004	0	19.83	106.16	83	3.04	-16.47	-222	-6.38	1.16	-0.0136	0.0734	31.43	24.82	27.74	27.01		-0.8132	6.15	-0.8132	27.01	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	1
10.65	24	0.08	0.0	0	19.63	135.9	83	0.03	-38.34	-445	-7.31	0.1	-0.0001	0.0847	31.35	25.96	27.76	26.93		-0.8556	10.65	-0.8556	26.93	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	2
15.15	24	0.01	0.009	0	19.48	763.16	83	-1.97	-47.26	-667	-6.19	-0.45	0.003	0.071	31.32	25.85	27.63	27.27		-0.9745	15.15	-0.9745	27.27	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	3
19.65	24	-0.05	-0.001	0	19.32	-211.09	83	-2.46	-56.91	-890	-5.41	-0.81	0.0028	0.0646	31.23	25.91	27.44	27.26		-1.0915	19.65	-1.0915	27.26	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	4
24.15	24	0.01	-0.001	0	19.15	763.16	83	-2.16	-66.76	-1112	-3.82	-0.59	0.002	0.0604	31.3	25.83	27.39	27.29		-0.9749	24.15	-0.9749	27.29	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	5
29.65	24	0.01	-0.008	2	19.9	596.14	83	-0.11	-36.84	-222	-12.25	11.95	0.0005	0.1743	31.3	25.7	27.3	27.56		-0.9666	29.65	-0.9666	27.3	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	6
34.15	24	0.01	0.0	2	19.67	596.14	83	0.35	-51.37	-445	-18.68	11.42	-0.0008	0.1156	31.31	25.71	27.29	27.47		-0.967	34.15	-0.967	27.29	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	7
38.65	24	0.01	-0.013	2	19.49	596.14	83	-0.97	-50.77	-667	-23.32	10.88	0.0015	0.0763	31.22	25.89	27.13	27.47		-0.9673	38.65	-0.9673	27.13	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	8
43.15	24	0.01	-0.004	2	19.32	763.16	83	-2.49	-52.87	-890	-25.0	9.63	0.0028	0.0592	31.39	25.66	27.22	27.5		-0.9747	43.15	-0.9747	27.22	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	9
47.65	24	0.08	-0.003	2	19.15	135.9	83	-4.8	-54.54	-1112	-25.06	9.96	0.0043	0.0492	31.25	26.0	27.16	27.71		-0.8591	47.65	-0.8591	27.16	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	10
53.15	24	0.08	-0.008	4	20.05	106.16	83	-0.75	-7.2	-222	-14.32	25.74	0.0035	0.0338	31.26	26.13	27.13	27.5		-0.8111	53.15	-0.8111	27.13	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	11
57.65	24	0.08	0.003	4	19.78	106.16	83	-4.94	-20.67	-445	-23.64	24.0	0.011	0.046	31.27	26.07	27.11	27.68		-0.8137	57.65	-0.8137	27.11	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	12
62.15	24	0.15	0.006	4	19.57	58.27	83	-2.39	-19.94	-667	-32.37	24.15	0.0036	0.0297	31.29	26.24	26.92	26.81		-0.6642	62.15	-0.6642	26.81	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	13
66.65	24	-0.05	-0.007	4	19.36	-211.09	83	-4.54	-14.47	-890	-38.6	24.89	0.0051	0.0162	31.3	26.15	27.05	27.71		-1.0917	66.65	-1.0917	27.05	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	14
71.15	24	0.01	-0.003	4	19.17	596.14	83	-4.55	-11.53	-1112	-42.11	24.08	0.0041	0.0103	31.14	26.02	27.29	27.72		-0.9678	71.15	-0.9678	27.29	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	15
88.15	40	-0.05	0.004	0	19.98	-199177.59	83	2.53	-10.03	-222	-3.68	0.39	-0.0116	0.0457	32.37	25.55	29.59	27.39		-1.0001	88.15	-1.0001	27.39	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	16
94.15	40	0.01	0.003	0	19.98	719268.44	83	-4.15	-12.32	-222	-4.66	1.6	0.0187	0.0555	32.39	25.54	29.79	27.37		-1.0	94.15	-1.0	27.37	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	17
98.65	40	0.01	0.003	0	19.78	718266.44	83	-14.83	-18.53	-445	-4.17	0.99	0.0329	0.0411	32.33	26.04	30.21	28.18		-1.0	98.65	-1.0	28.18	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	18
103.15	40	0.08	0.003	0	19.6	127999.69	83	-13.02	-24.24	-667	-8.0	-0.59	0.02	0.0372	32.53	26.67	30.7	28.97		-0.9998	103.15	-0.9998	28.97	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	19
107.65	40	0.01	0.002	0	19.44	721773.69	83	-16.21	-19.68	-890	-2.94	-1.5	0.0182	0.0221	32.43	27.09	31.09	29.53		-1.0	107.65	-1.0	29.53	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	20
112.15	40	0.01	0.0	0	19.27	719602.56	83	-29.84	-35.06	-1112	-6.5	-4.62	0.0273	0.0321	32.43	27.77	31.47	30.01		-1.0	112.15	-1.0	30.01	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	21
117.65	40	0.15	-0.003	2	20.07	70353.42	83	-5.14	-8.11	-222	-13.07	13.48	0.0234	0.0369	32.63	27.23	31.09	30.09		-0.9997	117.65	-0.9997	30.09	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	22
122.15	40	0.01	0.002	2	19.82	718767.44	83	-6.07	30.27	-445	-18.14	16.53	0.0138	-0.0687	32.59	27.5	31.38	30.47		-1.0	122.15	-1.0	30.47	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	23
126.65	40	0.08	0.0	2	19.62	128386.34	83	-23.41	114.05	-667	-20.61	20.86	0.0349	-0.1701	32.69	27.86	31.46	30.95		-0.9998	126.65	-0.9998	30.95	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	24
131.15	40	-0.05	-0.001	2	19.44	-199269.98	83	-22.62	188.03	-890	-27.25	19.89	0.0257	-0.2135	32.61	28.39	32.01	31.5		-1.0001	131.15	-1.0001	31.5	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	25
135.65	40	0.01	-0.004	2	19.26	719936.56	83	-36.77	283.82	-1112	-25.97	25.74	0.0327	-0.2526	32.57	28.88	32.01	31.75		-1.0	135.65	-1.0	31.75	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	26
141.15	40	0.08	-0.006	4	20.23	128237.62	83	-11.35	3.29	-222	-15.16	25.06	0.0526	-0.0152	32.6	28.7	31.34	31.98		-0.9998	141.15	-0.9998	31.34	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	27
145.65	40	0.01	-0.003	4	19.92	721940.75	83	-9.64	69.25	-445	-23.64	25.22	0.0215	-0.1548	32.78	28.71	31.64	32.22		-1.0	145.65	-1.0	31.64	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	28
150.15	40	-0.12	-0.008	4	19.7	-87529.8	83	-27.56	191.72	-667	-31.8	31.36	0.0409	-0.2844	32.66	28.55	31.83	32.48		-1.0002	150.15	-1.0002	31.83	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	29
154.65	40	0.15	0.003	4	19.5	70190.16	83	-23.78	332.22	-890	-39.76	36.55	0.0265	-0.3697	32.95	28.85	32.63	33.06		-0.9997	154.65	-0.9997	32.63	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	30
159.15	40	0.15	-0.008	4	19.3	70402.39	83	-38.52	469.99	-1112	-47.18	38.09	0.0346	-0.4216	32.89	29.15	32.51	33.26		-0.9997	159.15	-0.9997	32.51	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	31
164.65	24	0.08	-0.008	4	19.57	76.42	83	4.09	169.65	-667	-33.02	13.53	-0.0061	-0.2526	31.62	29.26	31.88	33.39		-0.7439	164.65	-0.7439	31.88	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	32
166.15	24	0.08	0.006	0	20.73	10040.22	83	2.99	-26.5	-222	-10.23	3.25	-0.4555	4.0411	31.35	28.46	31.24	33.08		-0.9979	166.15	-0.9979	31.24	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	33
188.13	24	0.01	0.003	0	19.55	56212.66	83	-11.05	-15.24	-667	0.13	-1.1	0.0168	0.0231	33.83	29.06	30.82	33.13		-0.9997	188.13	-0.9997	30.82	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	34
210.13	24	0.15	-0.004	0	19.17	5608.75	83	-23.28	-40.57	-1112	-1.45	-2.13	0.0209	0.0363	33.87	29.94	31.02	32.85		-0.9966	210.13	-0.9966	31.02	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	35
232.13	24	0.01	0.0	0	19.92	56546.7	83	-1.14	-10.04	-222	-5.71	1.37	0.0058	0.0508	33.81	29.93	30.91	32.37		-0.9996	232.13	-0.9996	30.91	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	36
254.13	24	0.01	-0.001	0	19.54	56713.71	83	-9.72	-40.73	-667	-4.91	-0.6	0.0154	0.0647	33.82	28.99	29.62	32.28		-0.9997	254.13	-0.9997	29.62	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	37
276.13	24	0.01	-0.014	0	19.22	57214.76	83	-18.3	-58.28	-1112	-0.92	-2.14	0.0168	0.0535	34.2	29.32	30.34	32.76		-0.9997	276.13	-0.9997	30.34	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	38
298.13	24	0.01	-0.003	0	19.93	56546.7	83	-2.18	-7.36	-222	-2.28	0.98	0.0098	0.033	34.06	29.69	30.45	32.76		-0.9996	298.13	-0.9996	30.45	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	39
320.13	24	0.01	-0.001	0	19.5	56379.68	83	-10.16	-9.19	-667	-2.45	-1.17	0.0156	0.0141	33.86	29.76	30.21	32.58		-0.9997	320.13	-0.9997	30.21	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	40
342.13	24	0.08	0.006	0	19.17	10159.19	83	-18.4	-48.74	-1112	-5.53	-6.08	0.0171	0.0452	33.83	30.0	30.18	32.55		-0.9981	342.13	-0.9981	30.18	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	41
378.13	24	0.01	-0.007	0	19.43	57047.75	69	-11.29	-1.51	-667	-3.87	-1.22	0.0172	0.0023	34.2	30.22	30.7	32.91		-0.9997	378.13	-0.9997	30.7	B2356run7	combined	-662.2	0.004	3.15	82.91	30.6	42
