ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTemp	SR	time	KAPPA	TIRE_TEMP	run_id	test_type	FZ_set	IA_set	V_set	P_set	T_set	block_id
0.0	24	-0.22	-0.067	0	22.083	-209.252	83	4.52	-7.52	-667	-7.21	1.14	-0.01	0.01	30.77	28.05	27.77	27.18		-1.106	0.0	-1.106	27.77	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	0
6.3	24	-0.29	-0.073	0	22.415	-147.27	83	5.93	-6.56	-222	-6.1	2.12	-0.03	0.04	30.76	28.05	27.67	27.07		-1.152	6.3	-1.152	27.67	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	1
10.8	24	-0.29	-0.072	0	22.233	-147.27	83	6.82	-10.19	-445	-7.23	2.17	-0.02	0.03	30.67	27.83	27.74	27.19		-1.151	10.8	-1.151	27.74	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	2
15.3	24	-0.22	-0.075	0	22.079	-192.572	83	5.59	-6.82	-667	-7.56	1.29	-0.01	0.01	30.77	28.05	27.8	27.22		-1.115	15.3	-1.115	27.8	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	3
19.8	24	-0.29	-0.066	0	21.933	-151.522	83	5.2	-6.19	-890	-7.56	0.87	-0.01	0.01	30.73	28.07	27.83	27.07		-1.145	19.8	-1.145	27.83	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	4
24.3	24	-0.22	-0.07	0	21.781	-198.132	83	5.21	-4.96	-1112	-7.98	0.45	0.0	0.0	30.77	28.0	27.84	27.22		-1.11	24.3	-1.11	27.84	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	5
29.8	24	-0.29	-0.076	2	22.452	-155.774	83	6.78	-332.44	-222	-12.69	1.86	-0.04	1.73	30.78	27.91	27.8	27.13		-1.144	29.8	-1.144	27.8	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	6
34.3	24	-0.22	-0.066	2	22.242	-203.692	83	6.37	-314.62	-445	-21.28	1.89	-0.02	0.76	30.78	27.88	27.77	27.21		-1.109	34.3	-1.109	27.77	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	7
38.8	24	-0.22	-0.069	2	22.066	-181.452	83	5.85	-294.12	-667	-28.38	1.64	-0.01	0.46	30.67	28.04	27.89	27.21		-1.122	38.8	-1.122	27.89	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	8
43.3	24	-0.29	-0.066	2	21.902	-138.766	83	6.52	-274.77	-890	-32.06	1.6	-0.01	0.32	30.7	28.12	27.81	27.12		-1.158	43.3	-1.158	27.81	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	9
47.8	24	-0.22	-0.064	2	21.745	-198.132	83	6.99	-259.57	-1112	-32.75	1.44	-0.01	0.24	30.77	28.21	27.94	27.07		-1.11	47.8	-1.11	27.94	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	10
53.3	24	-0.29	-0.064	4	22.601	-155.775	83	6.7	-317.38	-222	-16.92	1.71	-0.03	1.62	30.77	28.04	27.86	27.25		-1.145	53.3	-1.145	27.86	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	11
57.8	24	-0.22	-0.07	4	22.355	-198.132	83	5.09	-302.1	-445	-28.29	1.7	-0.01	0.71	30.78	28.15	27.8	27.21		-1.113	57.8	-1.113	27.8	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	12
62.3	24	-0.15	-0.077	4	22.155	-294.185	83	6.12	-282.39	-667	-39.18	1.62	-0.01	0.44	30.77	27.97	27.81	27.28		-1.075	62.3	-1.075	27.81	B1654run23	combined	-643.98	-0.036	3.36	83.03	26.66	13
